participant_id,user_id,prolific_id,condition_order,failed_attention_check,exclude,likert_pre_lesson1,likert_mid_lesson1,likert_post_lesson1,likert_pre_lesson2,likert_mid_lesson2,likert_post_lesson2,likert_pre_lesson3,likert_mid_lesson3,likert_post_lesson3,likert_pre_lesson4,likert_mid_lesson4,likert_post_lesson4,likert_pre_condition1,likert_mid_condition1,likert_post_condition1,likert_pre_condition2,likert_mid_condition2,likert_post_condition2,likert_pre_condition3,likert_mid_condition3,likert_post_condition3,likert_pre_condition4,likert_mid_condition4,likert_post_condition4
1,0,5f9ac9de923dca223848cf19,"1,2,0,3",0,0,12,14,10,15,15,15,15,15,12,15,15,15,15,15,12,12,14,10,15,15,15,15,15,15
2,1,61656042f505fd7fa53e8628,"2,3,1,0",0,0,14,13,12,11,15,13,7,11,13,14,12,15,14,12,15,7,11,13,14,13,12,11,15,13
3,2,682ce55890f2f8f19e33469a,"3,0,2,1",0,0,13,15,15,14,14,14,14,14,14,15,15,15,14,14,14,15,15,15,14,14,14,13,15,15
4,3,663127d07fb81f5532bcfdad,"0,1,3,2",0,0,11,11,14,11,13,11,11,,,,,,11,11,14,11,13,11,,,,11,,
5,4,66b91ee649636fce844ef133,"1,2,0,3",0,0,14,15,9,12,13,11,11,11,10,14,15,14,11,11,10,14,15,9,12,13,11,14,15,14
6,5,67a8dd65c1561d80783d7931,"2,3,1,0",0,0,11,11,11,14,15,15,13,14,14,14,14,14,14,14,14,13,14,14,11,11,11,14,15,15
7,6,671139a20b977d78ec2ac1e0,"3,0,2,1",0,0,11,14,8,13,14,8,15,13,8,15,15,15,13,14,8,15,15,15,15,13,8,11,14,8
8,7,6658b838fa019e8f175c7bf4,"0,1,3,2",0,0,13,14,14,15,13,15,15,13,14,15,15,14,13,14,14,15,13,15,15,15,14,15,13,14
9,8,6527fa167b587d5d0588ee51,"1,2,0,3",0,0,13,14,9,11,14,12,11,11,10,14,11,13,11,11,10,13,14,9,11,14,12,14,11,13
10,9,6825b73a1e65510b29430c2b,"2,3,1,0",0,0,13,13,11,11,13,11,13,14,14,13,12,11,13,12,11,13,14,14,13,13,11,11,13,11
